Measures,Text 1
Language,en
Passive voice count (Sent Max),1.00
Passive voice count (Sent Min),0.00
Adjective incidence (Doc),50.40
Adjective incidence (Sent Avg),47.11
Adjective incidence (Sent SD),72.99
Adjective incidence (Sent Max),333.33
Adjective incidence (Sent Min),0.00
Adverb incidence (Doc),50.40
Adverb incidence (Sent Avg),50.28
Adverb incidence (Sent SD),75.95
Adverb incidence (Sent Max),375.00
Adverb incidence (Sent Min),0.00
Interjection incidence (Doc),4.03
Interjection incidence (Sent Avg),2.66
Interjection incidence (Sent SD),12.19
Interjection incidence (Sent Max),58.82
Interjection incidence (Sent Min),0.00
Lexical verb incidence (Doc),171.37
Lexical verb incidence (Sent Avg),171.36
Lexical verb incidence (Sent SD),87.57
Lexical verb incidence (Sent Max),400.00
Lexical verb incidence (Sent Min),0.00
Noun incidence (Doc),163.31
Noun incidence (Sent Avg),163.49
Noun incidence (Sent SD),115.95
Noun incidence (Sent Max),500.00
Noun incidence (Sent Min),0.00
Proper noun incidence (Doc),14.11
Proper noun incidence (Sent Avg),22.76
Proper noun incidence (Sent SD),69.91
Proper noun incidence (Sent Max),333.33
Proper noun incidence (Sent Min),0.00
Lexical item incidence (Doc),453.63
Lexical item incidence (Sent Avg),457.66
Lexical item incidence (Sent SD),99.93
Lexical item incidence (Sent Max),700.00
Lexical item incidence (Sent Min),333.33
Adposition incidence (Doc),104.84
Adposition incidence (Sent Avg),92.74
Adposition incidence (Sent SD),77.63
Adposition incidence (Sent Max),272.73
Adposition incidence (Sent Min),0.00
Auxiliary incidence (Doc),56.45
Auxiliary incidence (Sent Avg),69.35
Auxiliary incidence (Sent SD),86.79
Auxiliary incidence (Sent Max),333.33
Auxiliary incidence (Sent Min),0.00
Conjunction incidence (Doc),74.60
Conjunction incidence (Sent Avg),66.97
Conjunction incidence (Sent SD),65.70
Conjunction incidence (Sent Max),235.29
Conjunction incidence (Sent Min),0.00
Determiner incidence (Doc),86.69
Determiner incidence (Sent Avg),81.20
Determiner incidence (Sent SD),70.97
Determiner incidence (Sent Max),200.00
Determiner incidence (Sent Min),0.00
Numeral incidence (Doc),6.05
Numeral incidence (Sent Avg),5.21
Numeral incidence (Sent SD),19.51
Numeral incidence (Sent Max),90.91
Numeral incidence (Sent Min),0.00
Particle incidence (Doc),34.27
Particle incidence (Sent Avg),30.62
Particle incidence (Sent SD),43.93
Particle incidence (Sent Max),111.11
Particle incidence (Sent Min),0.00
Pronoun incidence (Doc),183.47
Pronoun incidence (Sent Avg),196.24
Pronoun incidence (Sent SD),107.35
Pronoun incidence (Sent Max),500.00
Pronoun incidence (Sent Min),0.00
Grammatical item incidence (Doc),546.37
Grammatical item incidence (Sent Avg),542.34
Grammatical item incidence (Sent SD),99.93
Grammatical item incidence (Sent Max),666.67
Grammatical item incidence (Sent Min),300.00
Verb incidence (Doc),227.82
Verb incidence (Sent Avg),240.71
Verb incidence (Sent SD),88.39
Verb incidence (Sent Max),444.44
Verb incidence (Sent Min),111.11
Punctuation incidence (Doc),96.54
Punctuation incidence (Sent Avg),111.37
Punctuation incidence (Sent SD),51.37
Punctuation incidence (Sent Max),250.00
Punctuation incidence (Sent Min),41.67
Personal pronoun incidence (Doc),165.32
Personal pronoun incidence (Sent Avg),178.01
Personal pronoun incidence (Sent SD),106.15
Personal pronoun incidence (Sent Max),500.00
Personal pronoun incidence (Sent Min),0.00
First person pronoun incidence (Doc),94.76
First person pronoun incidence (Sent Avg),90.43
First person pronoun incidence (Sent SD),79.20
First person pronoun incidence (Sent Max),272.73
First person pronoun incidence (Sent Min),0.00
Second person pronoun incidence (Doc),0.00
Second person pronoun incidence (Sent Avg),0.0
Second person pronoun incidence (Sent SD),0.0
Second person pronoun incidence (Sent Max),0.00
Second person pronoun incidence (Sent Min),0.00
Third person pronoun incidence (Doc),70.56
Third person pronoun incidence (Sent Avg),87.58
Third person pronoun incidence (Sent SD),96.75
Third person pronoun incidence (Sent Max),333.33
Third person pronoun incidence (Sent Min),0.00
Interrogative incidence (Doc),14.11
Interrogative incidence (Sent Avg),11.49
Interrogative incidence (Sent SD),27.73
Interrogative incidence (Sent Max),111.11
Interrogative incidence (Sent Min),0.00
Demonstrative incidence (Doc),14.11
Demonstrative incidence (Sent Avg),13.79
Demonstrative incidence (Sent SD),35.52
Demonstrative incidence (Sent Max),125.00
Demonstrative incidence (Sent Min),0.00
Singular word incidence (Doc),346.77
Singular word incidence (Sent Avg),346.18
Singular word incidence (Sent SD),167.62
Singular word incidence (Sent Max),700.00
Singular word incidence (Sent Min),0.00
Plural word incidence (Doc),139.11
Plural word incidence (Sent Avg),178.84
Plural word incidence (Sent SD),193.42
Plural word incidence (Sent Max),1000.00
Plural word incidence (Sent Min),0.00
Indefinite word incidence (Doc),42.34
Indefinite word incidence (Sent Avg),41.21
Indefinite word incidence (Sent SD),63.85
Indefinite word incidence (Sent Max),200.00
Indefinite word incidence (Sent Min),0.00
Definite word incidence (Doc),32.26
Definite word incidence (Sent Avg),29.66
Definite word incidence (Sent SD),51.78
Definite word incidence (Sent Max),200.00
Definite word incidence (Sent Min),0.00
Finite verb incidence (Doc),157.26
Finite verb incidence (Sent Avg),176.11
Finite verb incidence (Sent SD),74.54
Finite verb incidence (Sent Max),400.00
Finite verb incidence (Sent Min),66.67
Infinitive verb incidence (Doc),52.42
Infinitive verb incidence (Sent Avg),49.05
Infinitive verb incidence (Sent SD),66.05
Infinitive verb incidence (Sent Max),222.22
Infinitive verb incidence (Sent Min),0.00
Verbal adjective incidence (Doc),14.11
Verbal adjective incidence (Sent Avg),11.52
Verbal adjective incidence (Sent SD),28.33
Verbal adjective incidence (Sent Max),111.11
Verbal adjective incidence (Sent Min),0.00
Past tense incidence (Doc),135.08
Past tense incidence (Sent Avg),151.97
Past tense incidence (Sent SD),87.25
Past tense incidence (Sent Max),400.00
Past tense incidence (Sent Min),0.00
Present tense incidence (Doc),10.08
Present tense incidence (Sent Avg),8.72
Present tense incidence (Sent SD),25.98
Present tense incidence (Sent Max),111.11
Present tense incidence (Sent Min),0.00
Passive voice incidence (Doc),2.02
Passive voice incidence (Sent Avg),1.79
Passive voice incidence (Sent SD),11.73
Passive voice incidence (Sent Max),76.92
Passive voice incidence (Sent Min),0.00
Adjective type count (Doc),21.00
Adjective type count (Sent Avg),0.58
Adjective type count (Sent SD),0.88
Adjective type count (Sent Max),3.00
Adjective type count (Sent Min),0.00
Adverb type count (Doc),15.00
Adverb type count (Sent Avg),0.56
Adverb type count (Sent SD),0.73
Adverb type count (Sent Max),3.00
Adverb type count (Sent Min),0.00
Interjection type count (Doc),1.00
Interjection type count (Sent Avg),0.047
Interjection type count (Sent SD),0.21
Interjection type count (Sent Max),1.00
Interjection type count (Sent Min),0.00
Lexical verb type count (Doc),60.00
Lexical verb type count (Sent Avg),1.95
Lexical verb type count (Sent SD),1.11
Lexical verb type count (Sent Max),4.00
Lexical verb type count (Sent Min),0.00
Noun type count (Doc),44.00
Noun type count (Sent Avg),1.81
Noun type count (Sent SD),1.30
Noun type count (Sent Max),5.00
Noun type count (Sent Min),0.00
Proper noun type count (Doc),3.00
Proper noun type count (Sent Avg),0.16
Proper noun type count (Sent SD),0.48
Proper noun type count (Sent Max),2.00
Proper noun type count (Sent Min),0.00
Lexical item type count (Doc),144.00
Lexical item type count (Sent Avg),5.12
Lexical item type count (Sent SD),2.47
Lexical item type count (Sent Max),11.00
Lexical item type count (Sent Min),1.00
Adposition type count (Doc),17.00
Adposition type count (Sent Avg),1.19
Adposition type count (Sent SD),1.03
Adposition type count (Sent Max),3.00
Adposition type count (Sent Min),0.00
Auxiliary type count (Doc),5.00
Auxiliary type count (Sent Avg),0.58
Auxiliary type count (Sent SD),0.54
Auxiliary type count (Sent Max),2.00
Auxiliary type count (Sent Min),0.00
Conjunction type count (Doc),9.00
Conjunction type count (Sent Avg),0.79
Conjunction type count (Sent SD),0.77
Conjunction type count (Sent Max),3.00
Conjunction type count (Sent Min),0.00
Determiner type count (Doc),7.00
Determiner type count (Sent Avg),0.79
Determiner type count (Sent SD),0.67
Determiner type count (Sent Max),2.00
Determiner type count (Sent Min),0.00
Numeral type count (Doc),2.00
Numeral type count (Sent Avg),0.070
Numeral type count (Sent SD),0.26
Numeral type count (Sent Max),1.00
Numeral type count (Sent Min),0.00
Particle type count (Doc),3.00
Particle type count (Sent Avg),0.37
Particle type count (Sent SD),0.54
Particle type count (Sent Max),2.00
Particle type count (Sent Min),0.00
Pronoun type count (Doc),14.00
Pronoun type count (Sent Avg),1.86
Pronoun type count (Sent SD),1.10
Pronoun type count (Sent Max),4.00
Pronoun type count (Sent Min),0.00
Grammatical item type count (Doc),54.00
Grammatical item type count (Sent Avg),5.60
Grammatical item type count (Sent SD),2.55
Grammatical item type count (Sent Max),10.00
Grammatical item type count (Sent Min),2.00
Verb type count (Doc),63.00
Verb type count (Sent Avg),2.53
Verb type count (Sent SD),1.20
Verb type count (Sent Max),5.00
Verb type count (Sent Min),1.00
Word length (Doc),3.74
Word length (Sent Avg),3.81
