Measures	Text 1
Language	en
Proper noun-noun ratio (Sent Max)	2.00
Proper noun-noun ratio (Sent Min)	0.00
Verb-noun ratio (Doc)	0.96
Verb-noun ratio (Sent Avg)	1.01
Verb-noun ratio (Sent SD)	0.95
Verb-noun ratio (Sent Max)	5.00
Verb-noun ratio (Sent Min)	0.00
Adposition-noun ratio (Doc)	0.54
Adposition-noun ratio (Sent Avg)	0.47
Adposition-noun ratio (Sent SD)	0.35
Adposition-noun ratio (Sent Max)	1.00
Adposition-noun ratio (Sent Min)	0.00
Conjunction-noun ratio (Doc)	0.25
Conjunction-noun ratio (Sent Avg)	0.21
Conjunction-noun ratio (Sent SD)	0.33
Conjunction-noun ratio (Sent Max)	1.50
Conjunction-noun ratio (Sent Min)	0.00
Determiner-noun ratio (Doc)	0.64
Determiner-noun ratio (Sent Avg)	0.62
Determiner-noun ratio (Sent SD)	0.42
Determiner-noun ratio (Sent Max)	2.00
Determiner-noun ratio (Sent Min)	0.00
Numeral-noun ratio (Doc)	0.018
Numeral-noun ratio (Sent Avg)	0.012
Numeral-noun ratio (Sent SD)	0.052
Numeral-noun ratio (Sent Max)	0.25
Numeral-noun ratio (Sent Min)	0.00
Pronoun-noun ratio (Doc)	0.45
Pronoun-noun ratio (Sent Avg)	0.45
Pronoun-noun ratio (Sent SD)	0.42
Pronoun-noun ratio (Sent Max)	1.50
Pronoun-noun ratio (Sent Min)	0.00
Adverb-verb ratio (Doc)	0.21
Adverb-verb ratio (Sent Avg)	0.19
Adverb-verb ratio (Sent SD)	0.26
Adverb-verb ratio (Sent Max)	1.00
Adverb-verb ratio (Sent Min)	0.00
Interjection-verb ratio (Doc)	0.00
Interjection-verb ratio (Sent Avg)	0.0
Interjection-verb ratio (Sent SD)	0.0
Interjection-verb ratio (Sent Max)	0.00
Interjection-verb ratio (Sent Min)	0.00
Adposition-verb ratio (Doc)	0.55
Adposition-verb ratio (Sent Avg)	0.62
Adposition-verb ratio (Sent SD)	0.61
Adposition-verb ratio (Sent Max)	2.50
Adposition-verb ratio (Sent Min)	0.00
Conjunction-verb ratio (Doc)	0.26
Conjunction-verb ratio (Sent Avg)	0.24
Conjunction-verb ratio (Sent SD)	0.28
Conjunction-verb ratio (Sent Max)	1.00
Conjunction-verb ratio (Sent Min)	0.00
Particle-verb ratio (Doc)	0.15
Particle-verb ratio (Sent Avg)	0.16
Particle-verb ratio (Sent SD)	0.30
Particle-verb ratio (Sent Max)	1.00
Particle-verb ratio (Sent Min)	0.00
Auxiliary-lexical verb ratio (Doc)	0.24
Auxiliary-lexical verb ratio (Sent Avg)	0.22
Auxiliary-lexical verb ratio (Sent SD)	0.37
Auxiliary-lexical verb ratio (Sent Max)	1.33
Auxiliary-lexical verb ratio (Sent Min)	0.00
Adjective-lexical item ratio (Doc)	0.17
Adjective-lexical item ratio (Sent Avg)	0.16
Adjective-lexical item ratio (Sent SD)	0.11
Adjective-lexical item ratio (Sent Max)	0.50
Adjective-lexical item ratio (Sent Min)	0.00
Adverb-lexical item ratio (Doc)	0.078
Adverb-lexical item ratio (Sent Avg)	0.072
Adverb-lexical item ratio (Sent SD)	0.097
Adverb-lexical item ratio (Sent Max)	0.33
Adverb-lexical item ratio (Sent Min)	0.00
Interjection-lexical item ratio (Doc)	0.00
Interjection-lexical item ratio (Sent Avg)	0.0
Interjection-lexical item ratio (Sent SD)	0.0
Interjection-lexical item ratio (Sent Max)	0.00
Interjection-lexical item ratio (Sent Min)	0.00
Lexical verb-lexical item ratio (Doc)	0.30
Lexical verb-lexical item ratio (Sent Avg)	0.30
Lexical verb-lexical item ratio (Sent SD)	0.16
Lexical verb-lexical item ratio (Sent Max)	0.80
Lexical verb-lexical item ratio (Sent Min)	0.00
Noun-lexical item ratio (Doc)	0.39
Noun-lexical item ratio (Sent Avg)	0.38
Noun-lexical item ratio (Sent SD)	0.20
Noun-lexical item ratio (Sent Max)	1.00
Noun-lexical item ratio (Sent Min)	0.00
Proper noun-lexical item ratio (Doc)	0.068
Proper noun-lexical item ratio (Sent Avg)	0.091
Proper noun-lexical item ratio (Sent SD)	0.15
Proper noun-lexical item ratio (Sent Max)	0.67
Proper noun-lexical item ratio (Sent Min)	0.00
Sub-coordinating conjunction ratio (Doc)	0.81
Sub-coordinating conjunction ratio (Sent Avg)	0.22
Sub-coordinating conjunction ratio (Sent SD)	0.53
Sub-coordinating conjunction ratio (Sent Max)	2.00
Sub-coordinating conjunction ratio (Sent Min)	0.00
Adposition-determiner ratio (Doc)	0.84
Adposition-determiner ratio (Sent Avg)	0.78
Adposition-determiner ratio (Sent SD)	0.83
Adposition-determiner ratio (Sent Max)	4.00
Adposition-determiner ratio (Sent Min)	0.00
Pronoun-determiner ratio (Doc)	0.70
Pronoun-determiner ratio (Sent Avg)	0.63
Pronoun-determiner ratio (Sent SD)	0.70
Pronoun-determiner ratio (Sent Max)	3.00
Pronoun-determiner ratio (Sent Min)	0.00
Proper noun-determiner ratio (Doc)	0.27
Proper noun-determiner ratio (Sent Avg)	0.22
Proper noun-determiner ratio (Sent SD)	0.35
Proper noun-determiner ratio (Sent Max)	1.00
Proper noun-determiner ratio (Sent Min)	0.00
Proper noun-pronoun ratio (Doc)	0.39
Proper noun-pronoun ratio (Sent Avg)	0.30
Proper noun-pronoun ratio (Sent SD)	0.43
Proper noun-pronoun ratio (Sent Max)	1.00
Proper noun-pronoun ratio (Sent Min)	0.00
Adposition-grammatical item ratio (Doc)	0.24
Adposition-grammatical item ratio (Sent Avg)	0.22
Adposition-grammatical item ratio (Sent SD)	0.17
Adposition-grammatical item ratio (Sent Max)	0.57
Adposition-grammatical item ratio (Sent Min)	0.00
Auxiliary-grammatical item ratio (Doc)	0.083
Auxiliary-grammatical item ratio (Sent Avg)	0.10
Auxiliary-grammatical item ratio (Sent SD)	0.14
Auxiliary-grammatical item ratio (Sent Max)	0.50
Auxiliary-grammatical item ratio (Sent Min)	0.00
Conjunction-grammatical item ratio (Doc)	0.11
Conjunction-grammatical item ratio (Sent Avg)	0.10
Conjunction-grammatical item ratio (Sent SD)	0.13
Conjunction-grammatical item ratio (Sent Max)	0.60
Conjunction-grammatical item ratio (Sent Min)	0.00
Determiner-grammatical item ratio (Doc)	0.29
Determiner-grammatical item ratio (Sent Avg)	0.29
Determiner-grammatical item ratio (Sent SD)	0.17
Determiner-grammatical item ratio (Sent Max)	0.67
Determiner-grammatical item ratio (Sent Min)	0.00
Numeral-grammatical item ratio (Doc)	0.0079
Numeral-grammatical item ratio (Sent Avg)	0.0055
Numeral-grammatical item ratio (Sent SD)	0.023
Numeral-grammatical item ratio (Sent Max)	0.11
Numeral-grammatical item ratio (Sent Min)	0.00
Particle-grammatical item ratio (Doc)	0.063
Particle-grammatical item ratio (Sent Avg)	0.065
Particle-grammatical item ratio (Sent SD)	0.11
Particle-grammatical item ratio (Sent Max)	0.33
Particle-grammatical item ratio (Sent Min)	0.00
Pronoun-grammatical item ratio (Doc)	0.20
Pronoun-grammatical item ratio (Sent Avg)	0.22
Pronoun-grammatical item ratio (Sent SD)	0.20
Pronoun-grammatical item ratio (Sent Max)	1.00
Pronoun-grammatical item ratio (Sent Min)	0.00
Lexical-grammatical item ratio (Doc)	1.17
Lexical-grammatical item ratio (Sent Avg)	1.26
Lexical-grammatical item ratio (Sent SD)	0.60
Lexical-grammatical item ratio (Sent Max)	4.00
Lexical-grammatical item ratio (Sent Min)	0.62
First person-personal pronoun ratio (Doc)	0.087
First person-personal pronoun ratio (Sent Avg)	0.054
First person-personal pronoun ratio (Sent SD)	0.23
First person-personal pronoun ratio (Sent Max)	1.00
First person-personal pronoun ratio (Sent Min)	0.00
Second person-personal pronoun ratio (Doc)	0.022
Second person-personal pronoun ratio (Sent Avg)	0.014
Second person-personal pronoun ratio (Sent SD)	0.082
Second person-personal pronoun ratio (Sent Max)	0.50
Second person-personal pronoun ratio (Sent Min)	0.00
Third person-personal pronoun ratio (Doc)	0.89
Third person-personal pronoun ratio (Sent Avg)	0.66
Third person-personal pronoun ratio (Sent SD)	0.47
Third person-personal pronoun ratio (Sent Max)	1.00
Third person-personal pronoun ratio (Sent Min)	0.00
First-third person pronoun ratio (Doc)	0.098
First-third person pronoun ratio (Sent Avg)	0.0
First-third person pronoun ratio (Sent SD)	0.0
First-third person pronoun ratio (Sent Max)	0.00
First-third person pronoun ratio (Sent Min)	0.00
First-second person pronoun ratio (Doc)	4.00
First-second person pronoun ratio (Sent Avg)	0.0
First-second person pronoun ratio (Sent SD)	0.0
First-second person pronoun ratio (Sent Max)	0.00
First-second person pronoun ratio (Sent Min)	0.00
Second-third person pronoun ratio (Doc)	0.024
Second-third person pronoun ratio (Sent Avg)	0.027
Second-third person pronoun ratio (Sent SD)	0.16
Second-third person pronoun ratio (Sent Max)	1.00
Second-third person pronoun ratio (Sent Min)	0.00
Plural-singular word ratio (Doc)	0.19
Plural-singular word ratio (Sent Avg)	0.23
Plural-singular word ratio (Sent SD)	0.54
Plural-singular word ratio (Sent Max)	2.67
Plural-singular word ratio (Sent Min)	0.00
Definite-indefinite word ratio (Doc)	3.38
Definite-indefinite word ratio (Sent Avg)	0.32
Definite-indefinite word ratio (Sent SD)	0.68
Definite-indefinite word ratio (Sent Max)	2.00
Definite-indefinite word ratio (Sent Min)	0.00
Infinitive-finite verb ratio (Doc)	0.24
Infinitive-finite verb ratio (Sent Avg)	0.20
Infinitive-finite verb ratio (Sent SD)	0.45
Infinitive-finite verb ratio (Sent Max)	2.00
Infinitive-finite verb ratio (Sent Min)	0.00
Verbal adjective-finite verb ratio (Doc)	0.16
Verbal adjective-finite verb ratio (Sent Avg)	0.19
Verbal adjective-finite verb ratio (Sent SD)	0.33
Verbal adjective-finite verb ratio (Sent Max)	1.00
Verbal adjective-finite verb ratio (Sent Min)	0.00
Verbal adjective-infinitive verb ratio (Doc)	0.69
Verbal adjective-infinitive verb ratio (Sent Avg)	0.020
Verbal adjective-infinitive verb ratio (Sent SD)	0.091
Verbal adjective-infinitive verb ratio (Sent Max)	0.50
Verbal adjective-infinitive verb ratio (Sent Min)	0.00
Present-past tense ratio (Doc)	0.10
Present-past tense ratio (Sent Avg)	0.16
Present-past tense ratio (Sent SD)	0.60
Present-past tense ratio (Sent Max)	3.00
Present-past tense ratio (Sent Min)	0.00
Hapax legomena burstiness (Doc)	-0.13
Adjective burstiness (Doc)	-0.23
Adverb burstiness (Doc)	0.093
Interjection burstiness (Doc)	0.00
Lexical verb burstiness (Doc)	-0.19
Noun burstiness (Doc)	-0.28
Proper noun burstiness (Doc)	-0.20
Lexical item burstiness (Doc)	-0.37
Adposition burstiness (Doc)	-0.060
Auxiliary burstiness (Doc)	-0.14
Conjunction burstiness (Doc)	-0.062
Determiner burstiness (Doc)	-0.19
Numeral burstiness (Doc)	0.00
Particle burstiness (Doc)	6.342e-04
Pronoun burstiness (Doc)	-0.080
Grammatical item burstiness (Doc)	-0.33
Verb burstiness (Doc)	-0.24
Personal pronoun burstiness (Doc)	-0.074
First person pronoun burstiness (Doc)	0.91
Second person pronoun burstiness (Doc)	0.00
Third person pronoun burstiness (Doc)	-0.055
Interrogative burstiness (Doc)	0.00
Demonstrative burstiness (Doc)	-0.72
Singular word burstiness (Doc)	-0.024
Plural word burstiness (Doc)	0.18
Indefinite word burstiness (Doc)	-0.011
Definite word burstiness (Doc)	-0.10
Finite verb burstiness (Doc)	-0.26
Infinitive verb burstiness (Doc)	0.16
Verbal adjective burstiness (Doc)	-0.35
Past tense burstiness (Doc)	-0.25
Present tense burstiness (Doc)	0.59
Passive voice burstiness (Doc)	0.00
Frequent word burstiness (Doc)	-0.30
Infrequent word burstiness (Doc)	-0.100
Unknown word burstiness (Doc)	-0.14
Hapax legomena concentration (Doc)	-0.045
Hapax legomena concentration (Sent Avg)	0.0078
Hapax legomena concentration (Sent SD)	0.086
Hapax legomena concentration (Sent Max)	0.29
Hapax legomena concentration (Sent Min)	-0.17
Adjective concentration (Doc)	-0.18
Adjective concentration (Sent Avg)	0.37
Adjective concentration (Sent SD)	0.71
Adjective concentration (Sent Max)	1.00
Adjective concentration (Sent Min)	-1.00
Adverb concentration (Doc)	0.48
Adverb concentration (Sent Avg)	-0.11
Adverb concentration (Sent SD)	0.57
Adverb concentration (Sent Max)	1.00
Adverb concentration (Sent Min)	-1.00
Interjection concentration (Doc)	0.00
Interjection concentration (Sent Avg)	0.0
Interjection concentration (Sent SD)	0.0
Interjection concentration (Sent Max)	0.00
Interjection concentration (Sent Min)	0.00
Lexical verb concentration (Doc)	0.15
Lexical verb concentration (Sent Avg)	0.16
Lexical verb concentration (Sent SD)	0.61
Lexical verb concentration (Sent Max)	1.00
Lexical verb concentration (Sent Min)	-1.00
Noun concentration (Doc)	-0.12
Noun concentration (Sent Avg)	0.025
Noun concentration (Sent SD)	0.48
Noun concentration (Sent Max)	1.00
Noun concentration (Sent Min)	-1.00
Proper noun concentration (Doc)	-0.20
Proper noun concentration (Sent Avg)	-0.14
Proper noun concentration (Sent SD)	0.67
Proper noun concentration (Sent Max)	1.00
Proper noun concentration (Sent Min)	-1.00
Lexical item concentration (Doc)	-0.010
Lexical item concentration (Sent Avg)	0.081
Lexical item concentration (Sent SD)	0.23
Lexical item concentration (Sent Max)	1.00
Lexical item concentration (Sent Min)	-0.33
Adposition concentration (Doc)	-0.18
Adposition concentration (Sent Avg)	-0.10
Adposition concentration (Sent SD)	0.65
Adposition concentration (Sent Max)	1.00
Adposition concentration (Sent Min)	-1.00
Auxiliary concentration (Doc)	0.14
Auxiliary concentration (Sent Avg)	-0.12
Auxiliary concentration (Sent SD)	0.57
Auxiliary concentration (Sent Max)	1.00
Auxiliary concentration (Sent Min)	-1.00
Conjunction concentration (Doc)	0.17
Conjunction concentration (Sent Avg)	0.0090
Conjunction concentration (Sent SD)	0.61
Conjunction concentration (Sent Max)	1.00
Conjunction concentration (Sent Min)	-1.00
Determiner concentration (Doc)	-0.15
Determiner concentration (Sent Avg)	-0.091
Determiner concentration (Sent SD)	0.59
Determiner concentration (Sent Max)	1.00
Determiner concentration (Sent Min)	-1.00
Numeral concentration (Doc)	0.0
Numeral concentration (Sent Avg)	-0.054
Numeral concentration (Sent SD)	0.23
Numeral concentration (Sent Max)	0.00
Numeral concentration (Sent Min)	-1.00
Particle concentration (Doc)	0.25
Particle concentration (Sent Avg)	-0.036
Particle concentration (Sent SD)	0.50
Particle concentration (Sent Max)	1.00
Particle concentration (Sent Min)	-1.00
Pronoun concentration (Doc)	0.25
Pronoun concentration (Sent Avg)	0.0099
Pronoun concentration (Sent SD)	0.74
Pronoun concentration (Sent Max)	1.00
Pronoun concentration (Sent Min)	-1.00
Grammatical item concentration (Doc)	0.012
Grammatical item concentration (Sent Avg)	-0.089
Grammatical item concentration (Sent SD)	0.25
Grammatical item concentration (Sent Max)	0.33
Grammatical item concentration (Sent Min)	-1.00
Verb concentration (Doc)	0.15
Verb concentration (Sent Avg)	0.016
Verb concentration (Sent SD)	0.59
Verb concentration (Sent Max)	1.00
Verb concentration (Sent Min)	-1.00
Personal pronoun concentration (Doc)	0.30
Personal pronoun concentration (Sent Avg)	-0.062
Personal pronoun concentration (Sent SD)	0.72
Personal pronoun concentration (Sent Max)	1.00
Personal pronoun concentration (Sent Min)	-1.00
First person pronoun concentration (Doc)	0.50
First person pronoun concentration (Sent Avg)	-0.018
First person pronoun concentration (Sent SD)	0.17
First person pronoun concentration (Sent Max)	0.33
First person pronoun concentration (Sent Min)	-1.00
Second person pronoun concentration (Doc)	1.00
Second person pronoun concentration (Sent Avg)	-0.027
Second person pronoun concentration (Sent SD)	0.16
Second person pronoun concentration (Sent Max)	0.00
Second person pronoun concentration (Sent Min)	-1.00
Third person pronoun concentration (Doc)	0.27
Third person pronoun concentration (Sent Avg)	-0.017
Third person pronoun concentration (Sent SD)	0.72
Third person pronoun concentration (Sent Max)	1.00
Third person pronoun concentration (Sent Min)	-1.00
Interrogative concentration (Doc)	0.0
Interrogative concentration (Sent Avg)	-0.054
Interrogative concentration (Sent SD)	0.23
Interrogative concentration (Sent Max)	0.00
Interrogative concentration (Sent Min)	-1.00
Demonstrative concentration (Doc)	1.00
Demonstrative concentration (Sent Avg)	-0.054
Demonstrative concentration (Sent SD)	0.33
Demonstrative concentration (Sent Max)	1.00
Demonstrative concentration (Sent Min)	-1.00
Singular word concentration (Doc)	0.12
Singular word concentration (Sent Avg)	-0.089
Singular word concentration (Sent SD)	0.37
Singular word concentration (Sent Max)	1.00
Singular word concentration (Sent Min)	-1.00
Plural word concentration (Doc)	-0.44
Plural word concentration (Sent Avg)	0.12
Plural word concentration (Sent SD)	0.51
Plural word concentration (Sent Max)	1.00
Plural word concentration (Sent Min)	-1.00
Indefinite word concentration (Doc)	-0.38
Indefinite word concentration (Sent Avg)	0.0
Indefinite word concentration (Sent SD)	0.47
Indefinite word concentration (Sent Max)	1.00
Indefinite word concentration (Sent Min)	-1.00
Definite word concentration (Doc)	-0.15
Definite word concentration (Sent Avg)	-0.14
Definite word concentration (Sent SD)	0.63
Definite word concentration (Sent Max)	1.00
Definite word concentration (Sent Min)	-1.00
Finite verb concentration (Doc)	0.18
Finite verb concentration (Sent Avg)	-0.18
Finite verb concentration (Sent SD)	0.64
Finite verb concentration (Sent Max)	1.00
Finite verb concentration (Sent Min)	-1.00
Infinitive verb concentration (Doc)	0.12
Infinitive verb concentration (Sent Avg)	0.032
Infinitive verb concentration (Sent SD)	0.42
Infinitive verb concentration (Sent Max)	1.00
Infinitive verb concentration (Sent Min)	-1.00
Verbal adjective concentration (Doc)	0.091
Verbal adjective concentration (Sent Avg)	0.19
Verbal adjective concentration (Sent SD)	0.52
Verbal adjective concentration (Sent Max)	1.00
Verbal adjective concentration (Sent Min)	-1.00
Past tense concentration (Doc)	0.15
Past tense concentration (Sent Avg)	-0.13
Past tense concentration (Sent SD)	0.66
Past tense concentration (Sent Max)	1.00
Past tense concentration (Sent Min)	-1.00
Present tense concentration (Doc)	0.43
Present tense concentration (Sent Avg)	-0.018
Present tense concentration (Sent SD)	0.29
Present tense concentration (Sent Max)	1.00
Present tense concentration (Sent Min)	-1.00
Passive voice concentration (Doc)	-1.00
Passive voice concentration (Sent Avg)	0.027
Passive voice concentration (Sent SD)	0.16
Passive voice concentration (Sent Max)	1.00
Passive voice concentration (Sent Min)	0.00
Frequent word concentration (Doc)	0.036
Frequent word concentration (Sent Avg)	-0.090
Frequent word concentration (Sent SD)	0.33
Frequent word concentration (Sent Max)	1.00
Frequent word concentration (Sent Min)	-1.00
Infrequent word concentration (Doc)	-0.065
Infrequent word concentration (Sent Avg)	0.068
Infrequent word concentration (Sent SD)	0.67
Infrequent word concentration (Sent Max)	1.00
Infrequent word concentration (Sent Min)	-1.00
Unknown word concentration (Doc)	-0.43
Unknown word concentration (Sent Avg)	-0.14
Unknown word concentration (Sent SD)	0.59
Unknown word concentration (Sent Max)	1.00
Unknown word concentration (Sent Min)	-1.00
Hapax legomena avg position (Doc)	0.49
Hapax legomena avg position (Sent Avg)	0.51
Hapax legomena avg position (Sent SD)	0.030
Hapax legomena avg position (Sent Max)	0.57
Hapax legomena avg position (Sent Min)	0.42
Adjective avg position (Doc)	0.45
Adjective avg position (Sent Avg)	0.53
Adjective avg position (Sent SD)	0.34
Adjective avg position (Sent Max)	1.00
Adjective avg position (Sent Min)	0.00
Adverb avg position (Doc)	0.60
Adverb avg position (Sent Avg)	0.18
Adverb avg position (Sent SD)	0.31
Adverb avg position (Sent Max)	1.00
Adverb avg position (Sent Min)	0.00
Interjection avg position (Doc)	0.00
Interjection avg position (Sent Avg)	0.0
Interjection avg position (Sent SD)	0.0
Interjection avg position (Sent Max)	0.00
Interjection avg position (Sent Min)	0.00
Lexical verb avg position (Doc)	0.53
Lexical verb avg position (Sent Avg)	0.49
Lexical verb avg position (Sent SD)	0.24
Lexical verb avg position (Sent Max)	1.00
Lexical verb avg position (Sent Min)	0.00
Noun avg position (Doc)	0.47
Noun avg position (Sent Avg)	0.49
Noun avg position (Sent SD)	0.21
Noun avg position (Sent Max)	1.00
Noun avg position (Sent Min)	0.00
Proper noun avg position (Doc)	0.44
Proper noun avg position (Sent Avg)	0.19
Proper noun avg position (Sent SD)	0.29
Proper noun avg position (Sent Max)	1.00
Proper noun avg position (Sent Min)	0.00
Lexical item avg position (Doc)	0.49
Lexical item avg position (Sent Avg)	0.54
Lexical item avg position (Sent SD)	0.056
Lexical item avg position (Sent Max)	0.75
Lexical item avg position (Sent Min)	0.44
Adposition avg position (Doc)	0.45
Adposition avg position (Sent Avg)	0.36
Adposition avg position (Sent SD)	0.28
Adposition avg position (Sent Max)	0.83
Adposition avg position (Sent Min)	0.00
Auxiliary avg position (Doc)	0.58
Auxiliary avg position (Sent Avg)	0.21
Auxiliary avg position (Sent SD)	0.30
Auxiliary avg position (Sent Max)	0.95
Auxiliary avg position (Sent Min)	0.00
Conjunction avg position (Doc)	0.52
Conjunction avg position (Sent Avg)	0.24
Conjunction avg position (Sent SD)	0.28
Conjunction avg position (Sent Max)	0.82
Conjunction avg position (Sent Min)	0.00
Determiner avg position (Doc)	0.46
Determiner avg position (Sent Avg)	0.37
Determiner avg position (Sent SD)	0.24
Determiner avg position (Sent Max)	0.74
Determiner avg position (Sent Min)	0.00
Numeral avg position (Doc)	0.42
Numeral avg position (Sent Avg)	0.0013
Numeral avg position (Sent SD)	0.0078
Numeral avg position (Sent Max)	0.048
Numeral avg position (Sent Min)	0.00
Particle avg position (Doc)	0.61
Particle avg position (Sent Avg)	0.15
Particle avg position (Sent SD)	0.27
Particle avg position (Sent Max)	0.83
Particle avg position (Sent Min)	0.00
Pronoun avg position (Doc)	0.57
Pronoun avg position (Sent Avg)	0.37
Pronoun avg position (Sent SD)	0.33
Pronoun avg position (Sent Max)	1.00
Pronoun avg position (Sent Min)	0.00
Grammatical item avg position (Doc)	0.51
Grammatical item avg position (Sent Avg)	0.46
Grammatical item avg position (Sent SD)	0.064
Grammatical item avg position (Sent Max)	0.58
Grammatical item avg position (Sent Min)	0.25
Verb avg position (Doc)	0.54
Verb avg position (Sent Avg)	0.49
Verb avg position (Sent SD)	0.17
Verb avg position (Sent Max)	0.75
Verb avg position (Sent Min)	0.00
Personal pronoun avg position (Doc)	0.58
Personal pronoun avg position (Sent Avg)	0.31
Personal pronoun avg position (Sent SD)	0.32
Personal pronoun avg position (Sent Max)	0.94
Personal pronoun avg position (Sent Min)	0.00
First person pronoun avg position (Doc)	0.55
First person pronoun avg position (Sent Avg)	0.013
First person pronoun avg position (Sent SD)	0.078
First person pronoun avg position (Sent Max)	0.47
First person pronoun avg position (Sent Min)	0.00
Second person pronoun avg position (Doc)	0.64
Second person pronoun avg position (Sent Avg)	0.0042
Second person pronoun avg position (Sent SD)	0.025
Second person pronoun avg position (Sent Max)	0.15
Second person pronoun avg position (Sent Min)	0.00
Third person pronoun avg position (Doc)	0.58
Third person pronoun avg position (Sent Avg)	0.31
Third person pronoun avg position (Sent SD)	0.33
Third person pronoun avg position (Sent Max)	0.94
Third person pronoun avg position (Sent Min)	0.00
Interrogative avg position (Doc)	0.41
Interrogative avg position (Sent Avg)	0.0
Interrogative avg position (Sent SD)	0.0
Interrogative avg position (Sent Max)	0.00
Interrogative avg position (Sent Min)	0.00
Demonstrative avg position (Doc)	0.76
Demonstrative avg position (Sent Avg)	0.039
Demonstrative avg position (Sent SD)	0.13
Demonstrative avg position (Sent Max)	0.59
Demonstrative avg position (Sent Min)	0.00
Singular word avg position (Doc)	0.53
Singular word avg position (Sent Avg)	0.46
Singular word avg position (Sent SD)	0.15
Singular word avg position (Sent Max)	0.70
Singular word avg position (Sent Min)	0.00
Plural word avg position (Doc)	0.42
Plural word avg position (Sent Avg)	0.25
Plural word avg position (Sent SD)	0.33
Plural word avg position (Sent Max)	1.00
Plural word avg position (Sent Min)	0.00
Indefinite word avg position (Doc)	0.39
Indefinite word avg position (Sent Avg)	0.12
Indefinite word avg position (Sent SD)	0.24
Indefinite word avg position (Sent Max)	0.83
Indefinite word avg position (Sent Min)	0.00
Definite word avg position (Doc)	0.45
Definite word avg position (Sent Avg)	0.33
Definite word avg position (Sent SD)	0.26
Definite word avg position (Sent Max)	0.83
Definite word avg position (Sent Min)	0.00
Finite verb avg position (Doc)	0.55
Finite verb avg position (Sent Avg)	0.44
Finite verb avg position (Sent SD)	0.21
Finite verb avg position (Sent Max)	0.83
Finite verb avg position (Sent Min)	0.00
Infinitive verb avg position (Doc)	0.61
Infinitive verb avg position (Sent Avg)	0.15
Infinitive verb avg position (Sent SD)	0.30
Infinitive verb avg position (Sent Max)	1.00
Infinitive verb avg position (Sent Min)	0.00
Verbal adjective avg position (Doc)	0.53
Verbal adjective avg position (Sent Avg)	0.20
Verbal adjective avg position (Sent SD)	0.34
Verbal adjective avg position (Sent Max)	1.00
Verbal adjective avg position (Sent Min)	0.00
Past tense avg position (Doc)	0.55
Past tense avg position (Sent Avg)	0.43
Past tense avg position (Sent SD)	0.22
Past tense avg position (Sent Max)	0.78
Past tense avg position (Sent Min)	0.00
Present tense avg position (Doc)	0.54
Present tense avg position (Sent Avg)	0.041
Present tense avg position (Sent SD)	0.14
Present tense avg position (Sent Max)	0.57
Present tense avg position (Sent Min)	0.00
Passive voice avg position (Doc)	0.21
Passive voice avg position (Sent Avg)	0.027
Passive voice avg position (Sent SD)	0.16
Passive voice avg position (Sent Max)	1.00
Passive voice avg position (Sent Min)	0.00
Frequent word avg position (Doc)	0.51
Frequent word avg position (Sent Avg)	0.45
Frequent word avg position (Sent SD)	0.079
Frequent word avg position (Sent Max)	0.67
Frequent word avg position (Sent Min)	0.25
Infrequent word avg position (Doc)	0.48
Infrequent word avg position (Sent Avg)	0.48
Infrequent word avg position (Sent SD)	0.25
Infrequent word avg position (Sent Max)	1.00
Infrequent word avg position (Sent Min)	0.00
Unknown word avg position (Doc)	0.45
Unknown word avg position (Sent Avg)	0.15
Unknown word avg position (Sent SD)	0.26
Unknown word avg position (Sent Max)	1.00
Unknown word avg position (Sent Min)	0.00
Hapax legomena position SD (Doc)	0.26
Hapax legomena position SD (Sent Avg)	0.33
Hapax legomena position SD (Sent SD)	0.028
Hapax legomena position SD (Sent Max)	0.40
Hapax legomena position SD (Sent Min)	0.29
Adjective position SD (Doc)	0.29
Adjective position SD (Sent Avg)	0.087
Adjective position SD (Sent SD)	0.15
Adjective position SD (Sent Max)	0.51
Adjective position SD (Sent Min)	0.00
Adverb position SD (Doc)	0.28
Adverb position SD (Sent Avg)	0.035
Adverb position SD (Sent SD)	0.11
Adverb position SD (Sent Max)	0.48
Adverb position SD (Sent Min)	0.00
Interjection position SD (Doc)	0.00
Interjection position SD (Sent Avg)	0.0
Interjection position SD (Sent SD)	0.0
Interjection position SD (Sent Max)	0.00
Interjection position SD (Sent Min)	0.00
Lexical verb position SD (Doc)	0.27
Lexical verb position SD (Sent Avg)	0.22
Lexical verb position SD (Sent SD)	0.18
Lexical verb position SD (Sent Max)	0.59
Lexical verb position SD (Sent Min)	0.00
Noun position SD (Doc)	0.29
Noun position SD (Sent Avg)	0.26
Noun position SD (Sent SD)	0.17
Noun position SD (Sent Max)	0.57
Noun position SD (Sent Min)	0.00
Proper noun position SD (Doc)	0.33
Proper noun position SD (Sent Avg)	0.023
Proper noun position SD (Sent SD)	0.10
Proper noun position SD (Sent Max)	0.55
Proper noun position SD (Sent Min)	0.00
Lexical item position SD (Doc)	0.29
Lexical item position SD (Sent Avg)	0.35
Lexical item position SD (Sent SD)	0.055
Lexical item position SD (Sent Max)	0.53
Lexical item position SD (Sent Min)	0.27
Adposition position SD (Doc)	0.28
Adposition position SD (Sent Avg)	0.13
Adposition position SD (Sent SD)	0.17
Adposition position SD (Sent Max)	0.48
